period_end,first,last,period_return,compound_mean_wt,final_score_wt,compound_max,compound_min,headline_count,start_date,end_date,final_score_wt_lag1
2009-01-23,59.25600814819336,61.124080657958984,0.03152545316744537,0.074375,0.1115625,0.4754,-0.1779,4,2009-01-20,2009-01-23,-0.30345
2009-01-30,61.54328536987305,60.91813659667969,-0.010157871316687661,-0.0172,-0.0258,0.0,-0.0516,3,2009-01-28,2009-01-30,0.1115625
2009-02-06,60.734291076660156,63.970314025878906,0.05328164520985634,-0.296,-0.444,-0.296,-0.296,1,2009-02-02,2009-02-02,-0.0258
2009-02-13,64.05857849121094,60.86664962768555,-0.04982828121862448,0.0,0.0,0.0,0.0,1,2009-02-09,2009-02-09,-0.444
2009-02-20,58.26313781738281,56.939292907714844,-0.0227218265143454,0.1468,0.22020000000000003,0.4404,0.0,3,2009-02-17,2009-02-18,0.0
2009-02-27,54.902095794677734,54.37255096435547,-0.009645257119193618,-0.01815,-0.027225000000000055,0.4404,-0.4767,2,2009-02-23,2009-02-25,0.22020000000000003
2009-03-06,51.9234619140625,50.687889099121094,-0.023796040737545154,0.004875000000000004,0.0073124999999999996,0.4404,-0.3182,4,2009-03-02,2009-03-05,-0.027225000000000055
2009-03-13,50.092166900634766,55.9611701965332,0.11716409289181828,0.0,0.0,0.0,0.0,2,2009-03-09,2009-03-13,0.0073124999999999996
2009-03-20,55.7919921875,56.820945739746094,0.018442674511211177,0.3612,0.5418000000000001,0.3612,0.3612,1,2009-03-18,2009-03-18,0.0
2009-03-27,60.90229415893555,60.4504508972168,-0.007419150098674221,-0.4939,-0.74085,-0.4939,-0.4939,1,2009-03-26,2009-03-26,0.5418000000000001
2009-04-03,58.36161422729492,62.413414001464844,0.06942576602473327,,,,,0,,,-0.74085
2009-04-10,61.92452621459961,63.5615234375,0.026435361285242154,-0.23835,-0.357525,0.0,-0.4767,2,2009-04-06,2009-04-06,
2009-04-17,63.57633972167969,64.50224304199219,0.014563646230120408,-0.51705,-0.775575,-0.4767,-0.5574,2,2009-04-13,2009-04-17,-0.357525
2009-04-24,61.798583984375,64.19115447998047,0.038715620024730724,,,,,0,,,-0.775575
2009-05-01,63.58376693725586,65.10221099853516,0.02388100193525311,-0.14049999999999999,-0.21075,0.0,-0.4215,3,2009-04-28,2009-04-30,
2009-05-08,67.3169937133789,68.87252807617188,0.023107602954108408,0.34,0.51,0.34,0.34,1,2009-05-07,2009-05-07,-0.21075
2009-05-15,67.5836410522461,65.70960998535156,-0.02772906339044079,0.0,0.0,0.0,0.0,2,2009-05-11,2009-05-11,0.51
2009-05-22,67.57623291015625,65.93922424316406,-0.02422462153474314,,,,,0,,,0.0
2009-05-29,67.62809753417969,68.53919219970703,0.01347213212772802,0.0,0.0,0.0,0.0,1,2009-05-29,2009-05-29,
2009-06-05,70.19837951660156,70.03543853759766,-0.0023211501479940555,0.0,0.0,0.0,0.0,3,2009-06-01,2009-06-05,0.0
2009-06-12,69.74656677246094,70.42800903320312,0.009770262426899157,0.24695,0.370425,0.4939,0.0,2,2009-06-11,2009-06-11,0.0
2009-06-19,68.81326293945312,68.56131744384766,-0.0036612926759067577,-0.17,-0.27625,0.0,-0.34,4,2009-06-17,2009-06-19,0.370425
2009-06-26,66.50537872314453,68.41239166259766,0.028674567020990027,0.4215,0.63225,0.4215,0.4215,1,2009-06-24,2009-06-24,-0.27625
2009-07-03,69.05298614501953,66.90019226074219,-0.031175970866143543,0.0,0.0,0.0,0.0,3,2009-07-01,2009-07-02,0.63225
2009-07-10,66.89273834228516,65.5221176147461,-0.020489828365609752,0.31845,0.47767499999999996,0.6369,0.0,2,2009-07-08,2009-07-09,0.0
2009-07-17,67.11622619628906,70.11820983886719,0.044728135247033673,0.3612,0.5418000000000001,0.3612,0.3612,1,2009-07-13,2009-07-13,0.47767499999999996
2009-07-24,70.86309814453125,73.04568481445312,0.030800045821737898,,,,,0,,,0.5418000000000001
2009-07-31,73.2616958618164,73.6043701171875,0.004677399988357367,0.0,0.0,0.0,0.0,1,2009-07-31,2009-07-31,
2009-08-07,74.81855773925781,75.38469696044922,0.007566828849660423,-0.1366,-0.20490000000000003,0.0,-0.2732,2,2009-08-05,2009-08-07,0.0
2009-08-14,75.228271484375,75.07927703857422,-0.0019805645252892745,0.14743333333333333,0.22114999999999999,0.2732,-0.0572,3,2009-08-11,2009-08-14,-0.20490000000000003
2009-08-21,73.23188781738281,76.70319366455078,0.047401561677944404,0.0,0.0,0.0,0.0,1,2009-08-19,2009-08-19,0.22114999999999999
2009-08-28,76.69571685791016,77.00860595703125,0.004079616332431701,,,,,0,,,0.0
2009-09-04,76.32328796386719,76.02531433105469,-0.003904098483723195,0.0,0.0,0.0,0.0,3,2009-08-31,2009-09-02,
2009-09-11,76.68081665039062,78.04399108886719,0.01777725509486494,0.023140000000000004,0.03471000000000002,0.4404,-0.4019,5,2009-09-08,2009-09-11,0.0
2009-09-18,78.4239273071289,79.87523651123047,0.0185059490634516,-0.31066666666666665,-0.466,0.0,-0.6249,3,2009-09-14,2009-09-18,0.03471000000000002
2009-09-25,79.67315673828125,78.17625427246094,-0.018788040126707872,-0.024825000000000014,-0.037237500000000034,0.5256,-0.6249,4,2009-09-22,2009-09-25,-0.466
2009-10-02,79.57583618164062,76.70931243896484,-0.036022540009917337,-0.100475,-0.1507125,0.0,-0.4019,4,2009-09-28,2009-10-01,-0.037237500000000034
2009-10-09,77.85443115234375,80.27942657470703,0.031147815050091454,-0.12691999999999998,-0.19037999999999997,0.4939,-0.6697,5,2009-10-06,2009-10-09,-0.1507125
2009-10-16,80.59375,81.49940490722656,0.011237284618553778,0.0,0.0,0.0,0.0,1,2009-10-12,2009-10-12,-0.19037999999999997
2009-10-23,82.17300415039062,80.89314270019531,-0.015575205792074387,0.0,0.0,0.0,0.0,1,2009-10-19,2009-10-19,0.0
2009-10-30,80.0174560546875,77.51012420654297,-0.03133481082466438,-0.1468,-0.22019999999999998,0.0,-0.4404,3,2009-10-27,2009-10-30,0.0
2009-11-06,78.07892608642578,80.18212127685547,0.026936784300819694,0.20095,0.301425,0.4019,0.0,2,2009-11-05,2009-11-05,-0.22019999999999998
2009-11-13,82.00835418701172,82.04576873779297,0.00045622852881455067,-0.15342,-0.25482499999999997,0.0,-0.4939,5,2009-11-09,2009-11-13,0.301425
2009-11-20,83.23580169677734,81.903564453125,-0.016005579528213132,,,,,0,,,-0.25482499999999997
2009-11-27,82.94391632080078,82.00835418701172,-0.011279454543363987,0.08572,0.12857999999999997,0.8316,-0.3818,5,2009-11-23,2009-11-27,
2009-12-04,82.2852783203125,83.08613586425781,0.009732695328899643,0.0,0.0,0.0,0.0,1,2009-12-03,2009-12-03,0.12857999999999997
2009-12-11,82.9588851928711,83.16098022460938,0.0024360866381996082,0.0,0.0,0.0,0.0,2,2009-12-07,2009-12-10,0.0
2009-12-18,83.72980499267578,82.93144226074219,-0.009534988550414347,0.09974999999999999,0.14867499999999997,0.4019,-0.3875,6,2009-12-14,2009-12-16,0.0
2009-12-25,83.77424621582031,84.63960266113281,0.010329623773434493,0.48839999999999995,0.7325999999999999,0.6808,0.296,2,2009-12-21,2009-12-22,0.14867499999999997
2010-01-01,84.82019805908203,83.85700225830078,-0.011355736284774154,0.31845,0.477675,0.6369,0.0,2,2009-12-30,2009-12-30,0.7325999999999999
2010-01-08,85.27920532226562,86.2122802734375,0.010941412360092162,-0.0321,-0.029059999999999996,0.3818,-0.5423,5,2010-01-05,2010-01-07,0.477675
2010-01-15,86.33271789550781,85.51248168945312,-0.009500873203684534,-0.14495,-0.21742499999999998,0.0,-0.4019,4,2010-01-11,2010-01-14,-0.029059999999999996
2010-01-22,86.58100891113281,82.17898559570312,-0.05084282766845494,0.4019,0.60285,0.4019,0.4019,1,2010-01-20,2010-01-20,-0.21742499999999998
2010-01-29,82.6003646850586,80.80943298339844,-0.021681886133174788,0.23835,0.357525,0.4767,0.0,2,2010-01-28,2010-01-28,0.60285
2010-02-05,82.06608581542969,80.2601318359375,-0.022006093766356316,0.17200000000000001,0.258,0.516,0.0,3,2010-02-02,2010-02-05,0.357525
2010-02-12,79.6806869506836,81.29854583740234,0.02030427884890207,0.24766666666666667,0.3715,0.743,0.0,3,2010-02-08,2010-02-12,0.258
2010-02-19,82.57777404785156,83.63123321533203,0.012757175639900531,-0.4588,-0.6882,-0.4588,-0.4588,1,2010-02-18,2010-02-18,0.3715
2010-02-26,83.64634704589844,83.33025360107422,-0.0037789270660053553,0.17020000000000002,0.2553,0.5106,0.0,3,2010-02-23,2010-02-26,-0.6882
2010-03-05,84.19566345214844,85.97148895263672,0.02109165042089778,-0.04989999999999999,-0.07485,0.2023,-0.4019,4,2010-03-01,2010-03-05,0.2553
2010-03-12,85.98653411865234,86.88200378417969,0.010414068606273696,-0.322075,-0.48311250000000006,0.34,-0.6249,4,2010-03-08,2010-03-12,-0.07485
2010-03-19,86.90458679199219,87.6251449584961,0.008291370951783783,0.2263,0.33945,0.2263,0.2263,1,2010-03-15,2010-03-15,-0.48311250000000006
2010-03-26,88.09358215332031,88.0860366821289,-8.56529046381338e-05,0.28175,0.42262500000000003,0.3612,0.2023,2,2010-03-22,2010-03-24,0.33945
2010-04-02,88.64514923095703,89.00782012939453,0.004091266150306749,0.0,0.0,0.0,0.0,2,2010-04-01,2010-04-01,0.42262500000000003
2010-04-09,89.73321533203125,90.33013153076172,0.006652120917786775,0.2553,0.38295,0.5106,0.0,2,2010-04-05,2010-04-05,0.0
2010-04-16,90.47370147705078,90.18653106689453,-0.0031740760626345343,-0.03391666666666667,-0.06783333333333334,0.2732,-0.4767,6,2010-04-12,2010-04-15,0.38295
2010-04-23,90.526611328125,92.0377426147461,0.016692674832859966,0.22202000000000002,0.33302999999999994,0.6369,-0.0321,5,2010-04-19,2010-04-23,-0.06783333333333334
2010-04-30,91.69017791748047,89.77098846435547,-0.02093124363715637,-0.2851666666666667,-0.42775,0.0,-0.8555,3,2010-04-28,2010-04-30,0.33302999999999994
2010-05-07,90.93463134765625,84.06635284423828,-0.07552984381890271,-0.0809,-0.12135000000000001,0.1531,-0.4767,4,2010-05-04,2010-05-07,-0.42775
2010-05-14,87.76868438720703,86.05352783203125,-0.019541782666002705,0.131675,0.23043124999999998,0.5267,0.0,4,2010-05-11,2010-05-12,-0.12135000000000001
2010-05-21,86.09886169433594,82.44181823730469,-0.042474933873275944,-0.005566666666666682,-0.008350000000000043,0.5256,-0.5423,3,2010-05-17,2010-05-20,0.23043124999999998
2010-05-28,81.38399505615234,82.63827514648438,0.015411876616116205,0.0,0.0,0.0,0.0,2,2010-05-25,2010-05-26,-0.008350000000000043
2010-06-04,81.24798583984375,80.7115478515625,-0.006602477375115212,0.0,0.0,0.0,0.0,3,2010-06-01,2010-06-01,0.0
2010-06-11,79.70659637451172,82.87251281738281,0.03971962907556148,0.18655999999999998,0.27984,0.5574,-0.5106,5,2010-06-07,2010-06-11,0.0
2010-06-18,82.74402618408203,84.8231201171875,0.02512681614597856,0.09106666666666667,0.1366,0.2732,0.0,3,2010-06-14,2010-06-15,0.27984
2010-06-25,84.58016967773438,81.89266967773438,-0.03177458747410722,-0.002639999999999987,-0.004114999999999991,0.2023,-0.3182,5,2010-06-21,2010-06-23,0.1366
2010-07-02,81.63456726074219,77.58814239501953,-0.04956754229857441,-0.12218333333333335,-0.18020000000000003,0.5267,-0.6486,6,2010-06-28,2010-06-30,-0.004114999999999991
2010-07-09,78.0967788696289,81.96100616455078,0.0494799830524717,-0.212,-0.318,0.0,-0.34,3,2010-07-06,2010-07-07,-0.18020000000000003
2010-07-16,82.01412200927734,80.97407531738281,-0.012681312271768053,0.1919666666666667,0.34781666666666666,0.7184,-0.0772,6,2010-07-13,2010-07-14,-0.318
2010-07-23,81.45234680175781,83.82098388671875,0.02908003486659294,-0.2988,-0.44820000000000004,0.1027,-0.7003,2,2010-07-20,2010-07-21,0.34781666666666666
2010-07-30,84.69404602050781,83.71471405029297,-0.011563173755776313,-0.32370000000000004,-0.4855500000000001,-0.1695,-0.4404,3,2010-07-26,2010-07-30,-0.44820000000000004
2010-08-06,85.60507202148438,85.32415008544922,-0.0032816038746471543,0.2899333333333333,0.4370583333333333,0.5719,0.0,6,2010-08-02,2010-08-06,-0.4855500000000001
2010-08-13,85.7796630859375,82.22669982910156,-0.041419645741397226,0.25723333333333337,0.38585,0.7717,0.0,3,2010-08-09,2010-08-11,0.4370583333333333
2010-08-20,82.18877410888672,81.63456726074219,-0.006743096659530434,0.2023,0.30345,0.2023,0.2023,1,2010-08-17,2010-08-17,0.38585
2010-08-27,81.32327270507812,81.12591552734375,-0.002426822865947642,0.0,0.0,0.0,0.0,3,2010-08-24,2010-08-27,0.30345
2010-09-03,79.94916534423828,84.18537902832031,0.052986340330660076,-0.020539999999999996,-0.03594499999999999,0.0,-0.1027,5,2010-08-30,2010-09-03,0.0
2010-09-10,83.23641204833984,84.63330078125,0.016782183404288276,-0.14459999999999998,-0.21689999999999995,0.5106,-0.6486,4,2010-09-07,2010-09-10,-0.03594499999999999
2010-09-17,85.57470703125,85.8572769165039,0.0033020257393427954,0.0439625,0.069153125,0.3818,-0.4215,8,2010-09-13,2010-09-17,-0.21689999999999995
2010-09-24,87.17005157470703,87.63561248779297,0.0053408355814374975,-0.10715,-0.17708124999999997,0.4404,-0.6249,8,2010-09-20,2010-09-24,0.069153125
2010-10-01,87.21583557128906,87.4753646850586,0.0029757109138441873,-0.18187272727272727,-0.3377977272727273,0.0,-0.6249,11,2010-09-27,2010-10-01,-0.17708124999999997
2010-10-08,86.81897735595703,88.94841766357422,0.024527359944433558,0.0386,0.0579,0.0772,0.0,2,2010-10-04,2010-10-08,-0.3377977272727273
2010-10-15,89.03238677978516,89.83377075195312,0.009001038848370113,0.09531666666666666,0.142975,0.5719,0.0,6,2010-10-12,2010-10-14,0.0579
2010-10-22,90.27645111083984,90.32987976074219,0.00059183374229832,-0.057033333333333325,-0.08755,0.2023,-0.3182,6,2010-10-19,2010-10-22,0.142975
2010-10-29,90.59703826904297,90.43675231933594,-0.0017692184288744528,0.0,0.0,0.0,0.0,2,2010-10-26,2010-10-29,-0.08755
2010-11-05,90.46730041503906,93.66524505615234,0.03534917728772702,0.0679,0.10185,0.1779,0.0,3,2010-11-02,2010-11-05,0.0
2010-11-12,93.4897232055664,91.74191284179688,-0.018695213803622268,-0.11973333333333334,-0.1796,0.0,-0.7184,6,2010-11-08,2010-11-12,0.10185
2010-11-19,91.61216735839844,91.81060791015625,0.0021660938440795086,0.29008,0.45806,0.7184,0.0,5,2010-11-15,2010-11-18,-0.1796
2010-11-26,91.7342529296875,90.67335510253906,-0.011564903983701691,-0.12113999999999998,-0.18170999999999998,0.2528,-0.4767,5,2010-11-22,2010-11-26,0.45806
2010-12-03,90.94812774658203,93.79502868652344,0.03130246889605037,0.053720000000000004,0.08058000000000001,0.6705,-0.4019,5,2010-11-29,2010-12-03,-0.18170999999999998
2010-12-10,93.69580078125,95.0085678100586,0.014010948386827815,0.018880000000000008,-0.036539999999999975,0.743,-0.6486,5,2010-12-09,2010-12-10,0.08058000000000001
2010-12-17,95.06961822509766,95.37014770507812,0.0031611516443550425,0.09448000000000001,0.14172,0.6369,-0.4019,5,2010-12-13,2010-12-17,-0.036539999999999975
2010-12-24,95.6003189086914,96.36754608154297,0.008025362065835262,0.10862500000000001,0.1629375,0.6124,-0.1779,4,2010-12-20,2010-12-23,0.14172
2010-12-31,96.4059066772461,96.48263549804688,0.0007958933580456407,0.06985000000000001,0.07755,0.6369,-0.4201,6,2010-12-30,2010-12-31,0.1629375
2011-01-07,97.4800796508789,97.54912567138672,0.0007083090284198956,0.1019375,0.16144375,0.5423,0.0,8,2011-01-03,2011-01-06,0.07755
2011-01-14,97.42636108398438,99.20640563964844,0.018270666540953995,0.18606666666666669,0.27910000000000007,0.6124,-0.3182,6,2011-01-11,2011-01-14,0.16144375
2011-01-21,99.37520599365234,98.49284362792969,-0.008879099740221053,0.16938333333333336,0.254075,0.6369,-0.6249,6,2011-01-18,2011-01-21,0.27910000000000007
2011-01-28,99.05298614501953,97.99414825439453,-0.010689611003496635,0.12738,0.19107,0.6369,0.0,5,2011-01-24,2011-01-28,0.254075
2011-02-04,98.73072052001953,100.62583923339844,0.01919482308441811,0.17828,0.29662,0.7351,-0.1511,10,2011-01-31,2011-02-04,0.19107
2011-02-11,101.2550048828125,102.12965393066406,0.008638082126052327,0.0,0.0,0.0,0.0,1,2011-02-09,2011-02-09,0.29662
2011-02-18,102.37519073486328,103.21916198730469,0.008243904078549358,-0.006288888888888881,-0.017258333333333334,0.3412,-0.3818,9,2011-02-14,2011-02-18,0.0
2011-02-25,101.1475601196289,101.5312271118164,0.0037931413445240203,0.064,0.096,0.128,0.0,2,2011-02-23,2011-02-24,-0.017258333333333334
2011-03-04,102.16031646728516,101.63858795166016,-0.005106958686762475,0.06891428571428572,0.08953214285714285,0.6114,-0.3875,7,2011-02-28,2011-03-04,0.096
2011-03-11,100.84066009521484,100.38797760009766,-0.004489086988222368,0.028137499999999996,0.042206249999999994,0.296,-0.2732,8,2011-03-08,2011-03-11,0.08953214285714285
2011-03-18,99.78185272216797,98.45066833496094,-0.013340946784317298,0.13791666666666666,0.206875,0.6908,-0.34,6,2011-03-14,2011-03-17,0.042206249999999994
2011-03-25,99.9764633178711,101.17854309082031,0.01202362769252252,0.2732,0.40980000000000005,0.2732,0.2732,1,2011-03-23,2011-03-23,0.206875
2011-04-01,100.9319839477539,102.60413360595703,0.016567093926031395,0.01629999999999999,0.024449999999999993,0.4215,-0.34,5,2011-03-29,2011-04-01,0.40980000000000005
2011-04-08,102.68892669677734,102.38069152832031,-0.0030016397908919634,-0.10149999999999999,-0.1544,0.0,-0.5574,6,2011-04-04,2011-04-06,0.024449999999999993
2011-04-15,102.07244873046875,101.74876403808594,-0.0031711269437409983,0.2781571428571429,0.4172357142857143,0.6705,-0.5719,7,2011-04-12,2011-04-15,-0.1544
2011-04-22,100.60831451416016,103.0896224975586,0.024663050915629814,0.02604545454545455,-0.0172409090909091,0.7579,-0.9118,11,2011-04-18,2011-04-21,0.4172357142857143
2011-04-29,102.98173522949219,105.13169860839844,0.02087713296066629,0.01978888888888889,0.05175555555555557,0.6705,-0.4215,9,2011-04-25,2011-04-29,-0.0172409090909091
2011-05-06,104.9698715209961,103.41329193115234,-0.014828822473431313,0.14863636363636365,0.27458863636363634,0.6369,0.0,11,2011-05-02,2011-05-06,0.05175555555555557
2011-05-13,103.81401062011719,103.28996276855469,-0.005047949197147683,-0.10648181818181818,-0.1609727272727273,0.0,-0.5994,11,2011-05-09,2011-05-13,0.27458863636363634
2011-05-20,102.6349868774414,102.95863342285156,0.003153374451118074,0.1438375,0.24443125000000002,0.4588,-0.34,8,2011-05-16,2011-05-20,-0.1609727272727273
