date,prob_up,actual_up,next_return,window
2018-01-31,0.8504054,0,0.0004972109810517,1
2018-02-01,0.8589192,0,-0.0011354282539042,1
2018-02-02,0.8959311,0,-0.0217698079301327,1
2018-02-05,0.44745663,1,-0.0418226174906029,1
2018-02-06,0.7327329,0,0.0197022501704675,1
2018-02-07,0.34993,0,-0.0054246924483193,1
2018-02-08,0.6960272,1,-0.0375089718089581,1
2018-02-09,0.15109728,1,0.0150214384077265,1
2018-02-12,0.84299916,1,0.0146844990274803,1
2018-02-13,0.77943707,1,0.0024874232067852,1
2018-02-15,0.9912126,1,0.0127603213032292,1
2018-02-16,0.41590598,1,0.000293141930951,1
2018-02-22,0.0394389,0,0.0012960659890619,1
2018-02-28,0.16231582,0,-0.0101300543958857,1
2018-03-01,0.043368254,1,-0.0145404908176343,1
2018-03-06,0.7076264,0,0.0025350837311006,1
2018-03-07,0.017962668,1,-0.0003662024859065,1
2018-03-08,0.8657268,1,0.0048387780698262,1
2018-03-09,0.34870818,0,0.0174024435102784,1
2018-03-12,0.9860814,0,-0.0012553217346088,1
2018-03-13,0.9065801,0,-0.0064623748964703,1
2018-03-14,0.986004,1,-0.005131751437319,1
2018-03-20,0.97894764,0,0.0017006215469612,1
2018-03-21,0.9800538,1,-0.0019190126475885,1
2018-03-26,0.8480997,0,0.0273593152858984,1
2018-03-28,0.93168515,1,-0.0029548276173767,1
2018-03-29,0.8744558,0,0.0127777943342797,1
2018-04-02,0.64390755,1,-0.0215847029119184,1
2018-04-03,0.7752662,1,0.012816960570118,1
2018-04-05,0.98819387,1,0.0078918677639692,1
2018-04-09,0.71520805,1,0.0049284859520335,1
2018-04-10,0.97231984,0,0.0159001299278735,1
2018-04-11,0.97857016,0,-0.0052419777563185,1
2018-04-13,0.84234756,1,-0.0029331804816017,1
2018-04-16,0.9138353,1,0.0082216678040591,1
2018-04-17,0.95548105,1,0.0106987803485456,1
2018-04-18,0.99631727,0,0.0007402409440109,1
2018-04-23,0.88174796,0,-0.0001500490654003,1
2018-04-24,0.7701476,1,-0.013467282204911,1
2018-04-25,0.6371438,1,0.0024718557989014,1
2018-04-26,0.90212584,1,0.0101654262967028,1
2018-04-27,0.7287022,0,0.0009387664579085,1
2018-04-30,0.94832677,0,-0.007690652334142,1
2018-05-03,0.7775896,1,-0.0022035087316455,1
2018-05-04,0.95525485,1,0.0129465725470998,1
2018-05-07,0.79554576,1,0.003383139626893,1
2018-05-14,0.75062263,1,0.0004764124250322,1
2018-05-16,0.9859675,0,0.0042048113560115,1
2018-05-17,0.7088887,1,-0.0008445927835499,1
2018-05-21,0.9963519,0,0.0075182408080913,1
2018-05-22,0.97643256,0,-0.0027800567731004,1
2018-05-29,0.95186716,1,-0.0115010982642586,1
2018-06-01,0.94865733,1,0.0098174018887169,1
2018-06-04,0.8975464,1,0.0047519445891783,1
2018-06-05,0.89890575,1,0.0007275579840104,1
2018-06-08,0.7151288,1,0.0029567406301633,1
2018-06-12,0.88653105,0,0.0012923857596445,1
2018-06-13,0.87812036,1,-0.0031906604438743,1
2018-06-14,0.93328565,0,0.0025176317279522,1
2018-06-15,0.5977108,0,-0.0012757664978333,1
2018-06-18,0.7396017,1,-0.0020569340851617,1
2018-06-20,0.24748169,0,0.0017057848154999,1
2018-06-27,0.64313185,1,-0.0082840578535395,1
2018-07-02,0.9734917,0,0.0021380864623918,1
2018-07-03,0.9692596,1,-0.003531500990089,1
2018-07-06,0.9832326,1,0.0084581164084054,1
2018-07-09,0.21485272,1,0.0090042404437347,1
2018-07-10,0.87092465,0,0.0035989181533815,1
2018-07-16,0.4602658,1,-0.0008944588120699,1
2018-07-17,0.9722284,0,0.0040452810072431,1
2018-07-20,0.85312355,0,-0.0011430062321432,1
2018-07-26,0.823681,0,-0.0023592960821493,1
2018-07-27,0.71268386,0,-0.0067763498693442,1
2018-07-30,0.7203157,1,-0.0052234388036618,1
2018-07-31,0.34486946,0,0.0049294682521656,1
2018-08-01,0.9854978,1,-0.0016711042113466,1
2018-08-06,0.86319125,1,0.00366719386923,1
2018-08-07,0.91586804,0,0.0033023227772057,1
2018-08-09,0.23716788,0,-0.0013661624272279,1
2018-08-10,0.7227778,0,-0.0067002118961648,1
