period_end,first,last,period_return,compound_mean_wt,final_score_wt,compound_max,compound_min,headline_count,start_date,end_date,final_score_wt_lag1
2010-08-31,85.60507202148438,79.94916534423828,-0.06606976133174247,0.18090666666666666,0.2722233333333334,0.7717,0.0,15,2010-08-02,2010-08-30,-0.08715357142857148
2010-09-30,82.34059143066406,87.10897064208984,0.0579104318851178,-0.08440303030303031,-0.15223257575757576,0.5106,-0.6486,33,2010-09-03,2010-09-30,0.2722233333333334
2010-10-31,87.4753646850586,90.43675231933594,0.03385396156894416,-0.005588235294117646,-0.009088235294117645,0.5719,-0.4019,17,2010-10-01,2010-10-29,-0.15223257575757576
2010-11-30,90.46730041503906,90.43675231933594,-0.0003376700262192056,0.02720909090909091,0.04602727272727272,0.7184,-0.7184,22,2010-11-02,2010-11-30,-0.009088235294117645
2010-12-31,92.3601303100586,96.48263549804688,0.04463511662606767,0.06456363636363638,0.07467954545454546,0.743,-0.6486,22,2010-12-02,2010-12-31,0.04602727272727272
2011-01-31,97.4800796508789,98.73072052001953,0.012829707091128295,0.13788846153846152,0.20945961538461538,0.6369,-0.6249,26,2011-01-03,2011-01-31,0.07467954545454546
2011-02-28,100.31128692626953,102.16031646728516,0.018432916152044676,0.06111249999999999,0.09686458333333332,0.7351,-0.3875,24,2011-02-01,2011-02-28,0.20945961538461538
2011-03-31,100.4570083618164,102.17262268066406,0.01707809486689582,0.11379130434782608,0.17068695652173912,0.6908,-0.34,23,2011-03-01,2011-03-31,0.09686458333333332
2011-04-30,102.60413360595703,105.13169860839844,0.02463414400192021,0.043020588235294116,0.0517764705882353,0.7579,-0.9118,34,2011-04-01,2011-04-29,0.17068695652173912
2011-05-31,104.9698715209961,103.95268249511719,-0.009690295045044928,0.039054761904761905,0.07134702380952382,0.6369,-0.6486,42,2011-05-02,2011-05-27,0.0517764705882353
2011-06-30,101.61780548095703,102.19905090332031,0.0057199170914215,0.030928301886792447,0.037192924528301884,0.6369,-0.6249,53,2011-06-01,2011-06-30,0.07134702380952382
2011-07-31,103.70914459228516,100.15457153320312,-0.03427444197959817,-0.04378604651162791,-0.05918255813953489,0.4588,-0.8402,43,2011-07-01,2011-07-29,0.037192924528301884
2011-08-31,99.7286605834961,94.64852142333984,-0.05093961084439702,-0.08868103448275864,-0.12986120689655173,0.4939,-0.8126,58,2011-08-01,2011-08-31,-0.05918255813953489
2011-09-30,93.65731048583984,88.07794952392578,-0.0595720818051636,-0.0007704918032786801,0.014188114754098364,0.8126,-0.7906,61,2011-09-01,2011-09-30,-0.12986120689655173
2011-10-31,85.57145690917969,97.69139862060547,0.14163533202770107,-0.028804761904761906,-0.05818690476190476,0.7717,-0.7506,63,2011-10-03,2011-10-31,0.014188114754098364
2011-11-30,94.96693420410156,97.29443359375,0.02450852403686321,0.05126481481481481,0.07339166666666666,0.7787,-0.6908,54,2011-11-01,2011-11-30,-0.05818690476190476
2011-12-31,97.27884674072266,98.31099700927734,0.010610223117731632,0.023978787878787877,0.04147575757575759,0.6705,-0.7579,66,2011-12-01,2011-12-30,0.07339166666666666
2012-01-31,99.877685546875,102.87007904052734,0.02996058105739685,-0.031211538461538454,-0.06157548076923077,0.5903,-0.7531,52,2012-01-03,2012-01-31,0.04147575757575759
2012-02-29,103.7709732055664,107.3352279663086,0.03434731939616231,0.07794181818181817,0.11391772727272724,0.7964,-0.5859,55,2012-02-01,2012-02-29,-0.06157548076923077
